ident,name,sphere,rarity,type,target,overland_cost,combat_cost,upkeep,research_cost,effect_kind,description
SPELL_DISPEL_EVIL,Dispel Evil,life,uncommon,Combat Instant,Enemy unit,0,25,0,450,dispel,Dispel Evil Realm Life Spell Rarity Uncommon Spell Type Combat Instant Casting Cost 25 Research Cost 450 Effects Each figure in a target Death or Chaos unit must make a Resistance roll at -4 or be des
SPELL_ENDURANCE,Endurance,life,common,Unit Enchantment,Friendly unit,30,0,1,60,unit_enchant,Endurance Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 30 Upkeep Cost 1 Research Cost 60 Effects Target unit's Movement Allowance is increased by 1 both on the overland map
SPELL_GUARDIAN_SPIRIT,Guardian Spirit,life,common,Summoning Spell,--,80,0,1,220,summon,Guardian Spirit Realm Life Spell Properties Spell Rarity Common Casting Cost 80 Upkeep Cost 1 per turn Research Cost 220 Unit Properties # of Figures 1 Moves 1 / 1 Melee Attack per figure 10 Defense p
SPELL_HEALING,Healing,life,common,Combat Instant,Friendly unit,0,15,0,100,instant_damage,Healing Realm Life Spell Rarity Common Spell Type Combat Instant Combat Cost 15 Research Cost 100 Effects Heals the target unit by 5 Hit Points - or by however many it would take to return the unit to
SPELL_HEAVENLY_LIGHT,Heavenly Light,life,uncommon,Town Enchantment,Friendly city,150,0,2,740,city_enchant,Heavenly Light Realm Life Spell Rarity Uncommon Spell Type Town Enchantment Casting Cost 150 Upkeep Cost 2 Research Cost 740 Effects Every battle taking place at the target town will be under an effec
SPELL_HEROISM,Heroism,life,common,Unit Enchantment,Friendly normal unit,100,20,2,250,unit_enchant,Heroism Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 100 Combat Cost 20 Upkeep Cost 2 Research Cost 250 Effects Target Normal Unit 's or Hero 's Experience Level is raised t
SPELL_HIGH_PRAYER,High Prayer,life,very rare,Combat Enchantment,--,0,60,0,1850,unit_enchant,"High Prayer Realm Life Spell Rarity Very Rare Spell Type Combat Enchantment Combat Cost 60 Research Cost 1,850 Effects All friendly units on the battlefield receive the following bonuses: +2 Melee Str"
SPELL_HOLY_ARMOR,Holy Armor,life,common,Unit Enchantment,Friendly normal unit,90,18,2,130,unit_enchant,Holy Armor Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 90 Combat Cost 18 Upkeep Cost 2 Research Cost 130 Effects Target receives exactly +2 to its Defense score.
SPELL_HOLY_ARMS,Holy Arms,life,very rare,Global Enchantment,--,900,0,10,2500,global_enchant,"Holy Arms Realm Life Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 900 Upkeep Cost 10 Research Cost 2,500 Effects Each and every friendly Normal Unit and Hero is under the effect o"
SPELL_HOLY_WEAPON,Holy Weapon,life,common,Unit Enchantment,Friendly normal unit,50,10,1,80,unit_enchant,Holy Weapon Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 50 Combat Cost 10 Upkeep Cost 1 Research Cost 80 Effects Target Normal Unit or Hero receives +10% To Hit with Melee-
SPELL_HOLY_WORD,Holy Word,life,rare,Combat Instant,--,0,60,0,1700,instant_damage,"Holy Word Realm Life Spell Rarity Rare Spell Type Combat Instant Combat Cost 60 Research Cost 1,700 Effects Each and every figure in each and every Fantastic Unit in the enemy army must make a Resista"
SPELL_INCARNATION,Incarnation,life,rare,Summoning Spell,--,500,0,0,960,summon,Incarnation Realm Life Spell Rarity Rare Spell Type Summoning Spell / Instant Spell Casting Cost 500 Research Cost 960 Effects Summons Torin the Chosen to the current location of your Summoning Circle
SPELL_INSPIRATIONS,Inspirations,life,very rare,Town Enchantment,Friendly city,350,0,2,2000,city_enchant,"Inspirations Realm Life Spell Rarity Very Rare Spell Type Town Enchantment Casting Cost 350 Upkeep Cost 2 Research Cost 2,000 Effects Each of the enchanted Town 's citizens yields twice as much Produc"
SPELL_INVULNERABILITY,Invulnerability,life,rare,Unit Enchantment,Friendly unit,200,40,5,1040,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Invulnerability is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_JUST_CAUSE,Just Cause,life,common,Global Enchantment,--,150,0,3,160,global_enchant,Just Cause Realm Life Spell Rarity Common Spell Type Global Enchantment Casting Cost 150 Upkeep Cost 3 Research Cost 160 Effects The casting wizard receives -1 to Unrest in all cities and a +10 Fame b
SPELL_LIFE_FORCE,Life Force,life,very rare,Global Enchantment,--,1000,0,10,3500,global_enchant,"Life Force Realm Life Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,000 Upkeep Cost 10 Research Cost 3,500 Effects Whenever any rival completes casting an overland Death spell, t"
SPELL_LIONHEART,Lionheart,life,rare,Unit Enchantment,Friendly unit,200,40,4,880,unit_enchant,Lionheart Realm Life Spell Rarity Rare Spell Type Unit Enchantment Casting Cost 200 Combat Cost 40 Upkeep Cost 4 Research Cost 880 Effects Target unit receives the following bonuses: +3 Melee Strength
SPELL_MASS_HEALING,Mass Healing,life,rare,Combat Instant,--,0,50,0,1600,instant_damage,"Buggy Feature As of Master of Magic v1.31 , Mass Healing is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_PLANAR_SEAL,Planar Seal,life,uncommon,Global Enchantment,--,500,0,5,500,global_enchant,Planar Seal Realm Life Spell Rarity Uncommon Spell Type Global Enchantment Casting Cost 500 Upkeep Cost 5 Research Cost 500 Effects While the spell is in effect it is virtually impossible for any Wiza
SPELL_PLANAR_TRAVEL,Planar Travel,life,uncommon,Unit Enchantment,Friendly unit,150,0,5,680,unit_enchant,"Planar Travel Realm Life Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 150 Upkeep Cost 5 Research Cost 680 Effects Enchanted unit may switch between the two Planes freely, as long as"
SPELL_PLANE_SHIFT,Plane Shift,life,uncommon,Instant Spell,Map square,125,0,0,350,instant_damage,"This article is about the inherent unit ability called ""Plane Shift"". For the Life Instant Spell of the same name see Plane Shift (Spell) ."
SPELL_PRAYER,Prayer,life,uncommon,Combat Enchantment,--,0,30,0,800,unit_enchant,Prayer Realm Life Spell Rarity Uncommon Spell Type Combat Enchantment Combat Cost 30 Research Cost 800 Effects All friendly units on the battlefield receive the following bonuses: +10% To Hit ; +10% T
SPELL_PROSPERITY,Prosperity,life,rare,Town Enchantment,Friendly city,250,0,2,1200,city_enchant,"Prosperity Realm Life Spell Rarity Rare Spell Type Town Enchantment Casting Cost 250 Upkeep Cost 2 Research Cost 1,200 Effects Enchanted Town 's Gold output is increased by 100%."
SPELL_RAISE_DEAD,Raise Dead,life,uncommon,Combat Instant,Dead normal unit,0,35,0,620,instant_damage,Raise Dead Realm Life Spell Rarity Uncommon Spell Type Combat Instant Combat Cost 35 Research Cost 620 Effects Returns a Normal Unit or Hero that was killed during this battle back to life.
SPELL_RESURRECTION,Resurrection,life,uncommon,Instant Spell,Dead hero,250,0,0,400,instant_damage,Resurrection Realm Life Spell Rarity Uncommon Spell Type Instant Spell Casting Cost 250 Research Cost 400 Effects One dead Hero returns to life with full health.
SPELL_RIGHTEOUSNESS,Righteousness,life,rare,Unit Enchantment,Friendly unit,200,40,2,1120,unit_enchant,"Righteousness Realm Life Spell Rarity Rare Spell Type Unit Enchantment Casting Cost 200 Combat Cost 40 Upkeep Cost 2 Research Cost 1,120 Effects The enchanted unit becomes invulnerable to the followin"
SPELL_STAR_FIRES,Star Fires,life,common,Combat Instant,Enemy unit,0,5,0,40,instant_damage,Star Fires Realm Life Spell Rarity Common Spell Type Combat Instant Casting Cost 5 Research Cost 40 Effects Strikes a target unit belonging to the Chaos or Death realms with a 15 -strength Magical Dam
SPELL_STREAM_OF_LIFE,Stream of Life,life,rare,Town Enchantment,Friendly city,300,0,8,1500,city_enchant,"Stream of Life Realm Life Spell Rarity Rare Spell Type Town Enchantment Casting Cost 300 Upkeep Cost 8 Research Cost 1,500 Effects Bestows the enchanted Town with the following bonuses: Population Gro"
SPELL_TRANQUILITY,Tranquility,life,very rare,Global Enchantment,--,1000,0,10,4000,global_enchant,"Tranquility Realm Life Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,000 Upkeep Cost 10 Research Cost 4,000 Effects Whenever any rival completes casting an overland Chaos spell,"
SPELL_TRUE_LIGHT,True Light,life,common,Combat Enchantment,--,0,20,0,190,unit_enchant,"True Light Realm Life Spell Rarity Common Spell Type Combat Enchantment Combat Cost 20 Research Cost 190 Effects All Fantastic Units of the Life Realm receive +1 , +1 , and a universal Attack Strength"
SPELL_TRUE_SIGHT,True Sight,life,uncommon,Unit Enchantment,Friendly unit,100,20,2,300,unit_enchant,True Sight Realm Life Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 100 Combat Cost 20 Upkeep Cost 2 Research Cost 300 Effects The enchanted unit receives the Illusions Immunity abili
SPELL_UNICORNS,Unicorns,life,uncommon,Summoning Spell,--,250,0,5,560,summon,Unicorns Realm Life Spell Properties Spell Rarity Uncommon Casting Cost 250 Upkeep Cost 5 per turn Research Cost 560 Unit Properties # of Figures 4 Moves 2 * Melee Attack per figure 5 Defense per figu
SPELL_BASILISK,Basilisk,nature,uncommon,Summoning Spell,--,325,0,7,800,summon,Basilisk Realm Nature Spell Properties Spell Rarity Uncommon Casting Cost 325 Upkeep Cost 7 per turn Research Cost 800 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 15 Defense per fig
SPELL_BEHEMOTH,Behemoth,nature,very rare,Summoning Spell,--,700,0,15,2000,summon,"Behemoth Realm Nature Spell Properties Spell Rarity Very Rare Casting Cost 700 Upkeep Cost 15 per turn Research Cost 2,000 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 25 Defense per"
SPELL_CALL_LIGHTNING,Call Lightning,nature,very rare,Combat Enchantment,--,0,60,0,3000,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Call Lightning is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CHANGE_TERRAIN,Change Terrain,nature,uncommon,Instant Spell,Map square,50,0,0,500,instant_damage,"Change Terrain Realm Nature Spell Rarity Uncommon Spell Type Instant Casting Cost 50 Research Cost 500 Effects Changes a single overland map tile from one type of terrain to another, generally towards"
SPELL_COCKATRICES,Cockatrices,nature,uncommon,Summoning Spell,--,275,0,8,620,summon,Cockatrices Realm Nature Spell Properties Spell Rarity Uncommon Casting Cost 275 Upkeep Cost 8 per turn Research Cost 620 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 4 Defense per f
SPELL_COLOSSUS,Colossus,nature,very rare,Summoning Spell,--,800,0,17,3500,summon,"Colossus Realm Nature Spell Properties Spell Rarity Very Rare Casting Cost 800 Upkeep Cost 17 per turn Research Cost 3,500 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 20 Ranged Atta"
SPELL_CRACKS_CALL,Cracks Call,nature,uncommon,Combat Instant,Combat tile,0,20,0,300,instant_damage,Cracks Call Realm Nature Spell Rarity Uncommon Spell Type Combat Instant Casting Cost 20 Research Cost 300 Effects A unit on the target tile has a 25% chance of being entirely destroyed.
SPELL_EARTH_ELEMENTAL,Earth Elemental,nature,rare,Summoning Spell,Combat tile,0,60,0,1700,summon,"Earth Elemental Realm Nature Spell Properties Spell Rarity Rare Casting Cost 60 Research Cost 1,700 Unit Properties # of Figures 1 Moves 1 Melee Attack per figure 25 Defense per figure 4 Resistance 8"
SPELL_EARTH_GATE,Earth Gate,nature,very rare,Town Enchantment,Friendly city,250,0,5,4000,city_enchant,"Earth Gate Realm Nature Spell Rarity Very Rare Spell Type Town Enchantment Casting Cost 250 Upkeep Cost 5 Research Cost 4,000 Effects Allows units to travel instantaneously between the enchanted Town"
SPELL_EARTH_LORE,Earth Lore,nature,common,Instant Spell,Map square,30,0,0,250,instant_damage,Earth Lore Realm Nature Spell Rarity Common Spell Type Instant Spell Casting Cost 30 Research Cost 250 Effects Permanently reveals all geographical features in a 10x12 rectangular area of the selected
SPELL_EARTH_TO_MUD,Earth to Mud,nature,common,Combat Instant,Combat tile,0,15,0,20,instant_damage,Earth to Mud Realm Nature Spell Rarity Common Spell Type Combat Instant Casting Cost 15 Research Cost 20 Effects Turns a 5x5 tile section of the battlefield into mud.
SPELL_EARTHQUAKE,Earthquake,nature,rare,Instant Spell,Enemy city,200,0,0,1300,instant_damage,"Earthquake Realm Nature Spell Rarity Rare Spell Type Instant Casting Cost 200 Research Cost 1,300 Effects Strikes the target Town with the following effects: Each Town Building has a 15% chance of bei"
SPELL_ELEMENTAL_ARMOR,Elemental Armor,nature,rare,Unit Enchantment,Friendly unit,175,35,5,880,unit_enchant,Elemental Armor Realm Nature Spell Rarity Rare Spell Type Unit Enchantment Casting Cost 175 Combat Cost 35 Upkeep Cost 5 Research Cost 880 Effects Grants the target unit +10 and +10 against any effect
SPELL_ENTANGLE,Entangle,nature,very rare,Combat Enchantment,--,0,50,0,2250,unit_enchant,"Entangle Realm Nature Spell Rarity Very Rare Spell Type Combat Enchantment Combat Cost 50 Research Cost 2,250 Effects Reduces the Movement Points per turn of each enemy unit by 1 point."
SPELL_GAIA_S_BLESSING,Gaia's Blessing,nature,rare,Town Enchantment,Friendly city,300,0,3,1600,city_enchant,"Buggy Feature As of Master of Magic v1.31 , Gaia's Blessing is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_GIANT_SPIDERS,Giant Spiders,nature,uncommon,Summoning Spell,--,200,0,4,450,summon,Giant Spiders Realm Nature Spell Properties Spell Rarity Uncommon Casting Cost 200 Upkeep Cost 4 per turn Research Cost 450 Unit Properties # of Figures 2 Moves 2 Melee Attack per figure 4 Defense per
SPELL_GIANT_STRENGTH,Giant Strength,nature,common,Unit Enchantment,Friendly unit,40,8,1,80,unit_enchant,Giant Strength Realm Nature Spell Rarity Common Spell Type Unit Enchantment Casting Cost 40 Combat Cost 8 Upkeep Cost 1 Research Cost 80 Effects Grants a unit +1 per figure .
SPELL_GORGONS,Gorgons,nature,rare,Summoning Spell,--,600,0,15,1400,summon,"Gorgons Realm Nature Spell Properties Spell Rarity Rare Casting Cost 600 Upkeep Cost 15 per turn Research Cost 1,400 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 8 Defense per figure"
SPELL_GREAT_WYRM,Great Wyrm,nature,very rare,Summoning Spell,--,1000,0,20,5000,summon,"Great Wyrm Realm Nature Spell Properties Spell Rarity Very Rare Casting Cost 1,000 Upkeep Cost 20 per turn Research Cost 5,000 Unit Properties # of Figures 1 Moves 3 * Melee Attack per figure 25 Defen"
SPELL_HERB_MASTERY,Herb Mastery,nature,very rare,Global Enchantment,--,1000,0,10,4500,global_enchant,"Herb Mastery Realm Nature Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,000 Upkeep Cost 10 Research Cost 4,500 Effects Fully heals each of the casting Wizard's units each turn."
SPELL_ICE_BOLT,Ice Bolt,nature,uncommon,Combat Instant,Enemy unit,0,10,0,400,instant_damage,Ice Bolt Realm Nature Spell Rarity Uncommon Spell Type Combat Instant Casting Cost 10-50 Research Cost 400 Effects Strikes the target unit with a 5-45 Cold Damage attack.
SPELL_ICE_STORM,Ice Storm,nature,rare,Instant Spell,Map square,200,0,0,1200,instant_damage,"Ice Storm Realm Nature Spell Rarity Rare Spell Type Instant Casting Cost 200 Research Cost 1,200 Effects Strikes all enemy units in the targeted stack with a 6 -strength Blizzard Damage attack."
SPELL_IRON_SKIN,Iron Skin,nature,rare,Unit Enchantment,Friendly unit,200,40,5,1120,unit_enchant,"Iron Skin Realm Nature Spell Rarity Rare Spell Type Unit Enchantment Casting Cost 200 Combat Cost 40 Upkeep Cost 5 Research Cost 1,120 Effects Grants a unit +5 per figure ."
SPELL_MOVE_FORTRESS,Move Fortress,nature,rare,Instant Spell,Friendly city,200,0,0,1500,instant_damage,"Move Fortress Realm Nature Spell Rarity Rare Spell Type Instant Casting Cost 200 Research Cost 1,500 Effects Moves the casting Wizard's Fortress to the targeted Town ."
SPELL_NATURE_AWARENESS,Nature Awareness,nature,very rare,Global Enchantment,--,800,0,7,2500,global_enchant,"Nature Awareness Realm Nature Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 800 Upkeep Cost 7 Research Cost 2,500 Effects Permanently reveals all unexplored tiles on the overland m"
SPELL_NATURE_S_CURES,Nature's Cures,nature,uncommon,Instant Spell,Map square,75,0,0,740,instant_damage,"Nature's Cures Realm Nature Spell Rarity Uncommon Spell Type Instant Casting Cost 75 Research Cost 740 Effects Heals all units in a targeted stack to full health, instantly."
SPELL_NATURE_S_EYE,Nature's Eye,nature,uncommon,Town Enchantment,Friendly city,75,0,1,350,city_enchant,"Buggy Feature As of Master of Magic v1.31 , Nature's Eye is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_NATURE_S_WRATH,Nature's Wrath,nature,very rare,Global Enchantment,--,1250,0,10,6000,global_enchant,"Nature's Wrath Realm Nature Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,250 Upkeep Cost 10 Research Cost 6,000 Effects Each time a rival Wizard casts a spell from the Death or"
SPELL_PATH_FINDING,Path Finding,nature,uncommon,Unit Enchantment,Friendly unit,50,0,1,560,unit_enchant,Path Finding Realm Nature Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 50 Upkeep Cost 1 Research Cost 560 Effects Allows a Walking unit to move on the campaign map using only 1/2 mov
SPELL_PETRIFY,Petrify,nature,rare,Combat Instant,Enemy unit,0,35,0,960,instant_damage,Petrify Realm Nature Spell Rarity Rare Spell Type Combat Instant Casting Cost 35 Research Cost 960 Effects Each figure in the target unit must Resist or be destroyed.
SPELL_REGENERATION,Regeneration,nature,very rare,Unit Enchantment,Friendly unit,300,60,10,1850,unit_enchant,"Regeneration is one of the many Unit Abilities available in Master of Magic . The Regeneration ability gives a unit several extremely useful advantages, and is often considered one of the best Unit Ab"
SPELL_RESIST_ELEMENTS,Resist Elements,nature,common,Unit Enchantment,Friendly unit,25,5,1,40,unit_enchant,Resist Elements Realm Nature Spell Rarity Common Spell Type Unit Enchantment Casting Cost 25 Combat Cost 5 Upkeep Cost 1 Research Cost 40 Effects Grants the target unit +3 and +3 against any effect or
SPELL_SPRITES,Sprites,nature,common,Summoning Spell,--,100,0,3,220,summon,Sprites Realm Nature Spell Properties Spell Rarity Common Casting Cost 100 Upkeep Cost 3 per turn Research Cost 220 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 2 Ranged Attack per f
SPELL_STONE_GIANT,Stone Giant,nature,rare,Summoning Spell,--,450,0,9,1040,summon,"Stone Giant Realm Nature Spell Properties Spell Rarity Rare Casting Cost 450 Upkeep Cost 9 per turn Research Cost 1,040 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 15 Ranged Attack"
SPELL_STONE_SKIN,Stone Skin,nature,common,Unit Enchantment,Friendly unit,50,10,1,160,unit_enchant,Stone Skin Realm Nature Spell Rarity Common Spell Type Unit Enchantment Casting Cost 50 Combat Cost 10 Upkeep Cost 1 Research Cost 160 Effects Grants a unit +1 per figure .
SPELL_TRANSMUTE,Transmute,nature,uncommon,Instant Spell,Map square,60,0,0,680,instant_damage,Transmute Realm Nature Spell Rarity Uncommon Spell Type Instant Casting Cost 60 Research Cost 680 Effects Changes the Terrain Special in a targeted tile: Coal is changed into Gems (and vice versa).
SPELL_WALL_OF_STONE,Wall of Stone,nature,common,Instant Spell,Friendly city,50,0,0,60,instant_damage,Wall of Stone Realm Nature Spell Rarity Common Spell Type Instant Casting Cost 50 Research Cost 60 Effects Builds permanent City Walls in the targeted Town .
SPELL_WAR_BEARS,War Bears,nature,common,Summoning Spell,--,70,0,2,130,summon,War Bears Realm Nature Spell Properties Spell Rarity Common Casting Cost 70 Upkeep Cost 2 per turn Research Cost 130 Unit Properties # of Figures 2 Moves 2 Melee Attack per figure 7 Defense per figure
SPELL_WATER_WALKING,Water Walking,nature,common,Unit Enchantment,Friendly unit,50,0,1,190,unit_enchant,Water Walking Realm Nature Spell Rarity Common Spell Type Unit Enchantment Casting Cost 50 Upkeep Cost 1 Research Cost 190 Effects Grants the swimming Movement Type Water Walking is a Common Unit Ench
SPELL_WEB,Web,nature,common,Combat Instant,Enemy unit,0,10,0,100,instant_damage,"Web Realm Nature Spell Rarity Common Spell Type Combat Instant Casting Cost 10 Research Cost 100 Effects Traps a corporeal unit in a sticky web, rendering it unable to move or attack until it destroys"
SPELL_AIR_ELEMENTAL,Air Elemental,sorcery,rare,Summoning Spell,Combat tile,0,50,0,1300,summon,"Air Elemental Realm Sorcery Spell Properties Spell Rarity Rare Casting Cost 50 Research Cost 1,300 Unit Properties # of Figures 1 Moves 5 Melee Attack per figure 15 Defense per figure 8 Resistance 9 H"
SPELL_AURA_OF_MAJESTY,Aura of Majesty,sorcery,uncommon,Global Enchantment,--,400,0,5,740,global_enchant,"Research Required This article/section is missing crucial information and may require additional research to answer the following questions: If a computer-controlled wizard casts Aura of Majesty , do"
SPELL_BANISH,Banish,sorcery,rare,Combat Instant,Enemy fant. unit,0,20,0,1120,instant_damage,"Banish Realm Sorcery Spell Rarity Rare Spell Type Combat Instant Casting Cost 20 + up to 80 Research Cost 1,120 Effects Each figure in the targeted Fantastic Unit must Resist at a penalty of -3 or be"
SPELL_BLUR,Blur,sorcery,uncommon,Combat Enchantment,--,0,25,0,300,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Blur is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CONFUSION,Confusion,sorcery,common,Unit Curse,Enemy unit,0,15,0,130,unit_enchant,"Confusion Realm Sorcery Spell Rarity Common Spell Type Unit Curse Combat Cost 15 Research Cost 130 Effects At the start of each combat turn, the enchanted unit has an equal chance of: Doing nothing fo"
SPELL_COUNTER_MAGIC,Counter Magic,sorcery,common,Combat Enchantment,--,0,10,0,190,unit_enchant,Counter Magic Realm Sorcery Spell Rarity Common Spell Type Combat Enchantment Combat Cost 10 + up to 40 Research Cost 190 Effects Any spell cast by the opposing force must roll against Counter Magic '
