module,kind,name,signature,purpose,phase,status,sphere
mom_msg.slc,messagebox,MomBlessNature,messagebox,segment: Nature sphere blessing popup,C,ACTIVE,nature
mom_msg.slc,messagebox,MomBlessSorcery,messagebox,segment: Sorcery sphere blessing popup,C,ACTIVE,sorcery
mom_msg.slc,messagebox,MomBlessDeath,messagebox,segment: Death sphere blessing popup,C,ACTIVE,death
mom_msg.slc,messagebox,MomBlessChaos,messagebox,segment: Chaos sphere blessing popup,C,ACTIVE,chaos
mom_msg.slc,messagebox,MomUpkeepDisband,messagebox,,C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonBegun,messagebox,,C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonBusy,messagebox,,C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonNoMagic,messagebox,,C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonGuard,messagebox,"segment: Life summon result (Guardian Spirit) -- names the creature, so one frame settles which branch ran",C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonBear,messagebox,segment: Nature summon result (War Bear),C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonMage,messagebox,segment: Sorcery summon result (Mage),C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonZombie,messagebox,segment: Death summon result (Zombies),C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonHound,messagebox,segment: Chaos summon result (Hell Hound),C,ACTIVE,neutral
mom_msg.slc,messagebox,MomSummonNoMana,messagebox,"segment: insufficient-mana answer for the Summon arm; messagebox NOT alertbox, so no modal stacks on the Kill() path",C,ACTIVE,neutral
mom_msg.slc,messagebox,MomMagicPower,messagebox,segment: mana pool / income readout body,C,ACTIVE,neutral
mom_msg.slc,alertbox,MagicMenu,alertbox,INTERACTIVE: MAGIC STATUS alertbox; Summon arm (75 mana) writes an order global that survives the turn boundary,C,ACTIVE,neutral
mom_magic.slc,function,MomRecalcMagicPerTurn,int_f(int_t mp_1),recompute a player's mana income from cities + owned mana nodes (base 10/turn),M,ACTIVE,neutral
mom_magic.slc,handler,MomMagicPoolTick,HandleEvent(BeginTurn) post,"per-turn mana accrual into MomMagicCur, clamped at the per-sphere MomMagicMax ceiling (200-300, set by MomMagicSchoolGrant; 100 only as the pre-grant default). Gated to players 1..5 -- running for player 0 was the turn-10 crash. The old pool-overflow auto-summon is REMOVED: it zeroed the pool on cap, so the 50/100-cost workings were unreachable by construction.",M,ACTIVE,neutral
mom_magic.slc,handler,MomMagicSchoolGrant,HandleEvent(GrantAdvance) post,apply per-school mana multipliers when a magic advance is granted,M,ACTIVE,all
mom_spells.slc,function,MomCastFlameStrike,void_f(int_t p),"Chaos spell: damage the nearest enemy unit. The targeting scan is INLINED because a 2-level user-function chain from an engine callback is an access violation (slic-two-crash-classes), not because of any call-count budget.",M,ACTIVE,neutral
mom_spells.slc,function,MomCastDemonStrike,void_f(int_t p),Death spell: damage the nearest enemy unit; targeting scan inlined for the same 2-level-chain reason as MomCastFlameStrike.,M,ACTIVE,chaos
mom_spells.slc,function,MomSpellShowBook,void_f(int_t p),"open the spellbook popup, choosing the per-sphere variant at call time",M,ACTIVE,chaos
mom_spells.slc,handler,MomSpellMenuTick,HandleEvent(BeginTurn) post,per-turn latched spellbook prompt for HUMAN sphere players: re-arms MomSpellPromptArmed only after the pool drops back under 60% of max. Unlatched Message here floods the BeginTurn queue -> 0xC0000005 (measured 2/2).,M,ACTIVE,neutral
mom_spells.slc,trigger,MomOpenSpellbook,on ControlPanelWindow.ControlPanel.ShortcutPad.MagicButton,UI trigger bound to the control-panel MagicButton,M,ACTIVE,neutral
mom_spells.slc,handler,MomSpellAICast,HandleEvent(BeginTurn) post,let AI players cast their sphere's spell when mana allows,M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgSpellbook,alertbox,segment: generic spellbook menu,M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgSpellbookChaos,alertbox,segment: Chaos-specific spellbook menu,M,ACTIVE,chaos
mom_spells.slc,alertbox,MomMsgDemonCast,alertbox,segment: Demon Strike cast confirmation,M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgFlameCast,alertbox,segment: Flame Strike cast confirmation,M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgNoTarget,alertbox,segment: no enemy unit in range,M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgNoMana,alertbox,segment: insufficient mana for a spell (alertbox; distinct from mom_msg's summon variant),M,ACTIVE,neutral
mom_spells.slc,alertbox,MomMsgNotChaos,alertbox,segment: caster's sphere does not grant this spell,M,ACTIVE,chaos
mom_ai_magic.slc,handler,MomAiMagicTick,HandleEvent(BeginTurn) post,,?,ACTIVE,neutral
mom_gating.slc,function,mod_CanPlayerHaveAdvance,"int_f(int_t thePlayer, int_t theAdvance)","deny a tribe every ladder advance outside its own sphere. Guards on g.player FIRST (ResetCanResearch calls this once per advance per player) and intercepts every acquisition path including scenario-start seeding, so seed advances are unnecessary.",?,ACTIVE,all
mom_gating.slc,function,mod_CanCityBuildUnit,"int_f(city_t theCity, int_t theUnit)","deny a city any unit whose sphere is not its owner tribe; neutral units always permitted. Identity via theCity.owner (proven to resolve, probe B2).",?,ACTIVE,neutral
mom_gating.slc,function,mod_CanCityBuildBuilding,"int_f(city_t theCity, int_t theBuilding)","same wall for improvements: deny off-sphere buildings, permit neutral ones.",?,ACTIVE,neutral
mom_gating.slc,function,mod_CanCityBuildWonder,"int_f(city_t theCity, int_t theWonder)",same wall for wonders.,?,ACTIVE,chaos
