id,reason,note
ADVANCE_GLOBAL_COMMUNICATIONS,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_GLOBAL_DEFENSE,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_GLOBAL_ECONOMICS,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_GUIDED_WEAPON_SYSTEMS,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_HT_SUPERCONDUCTOR,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_HUMAN_CLONING,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_INDUSTRIAL_REVOLUTION,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_INTEL_TESTS_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_INTERNAL_COMBUSTION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_JET_PROPULSION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_LIFE_EXTENSION,modern,base CTP2 AGE_TEN — beyond the Renaissance cap
ADVANCE_LIQUID_BREATHING_APPARATUS,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_MASS_MEDIA,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_MASS_PRODUCTION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_MASS_TRANSIT,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_MEDICINE,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_MIND_CONTROL,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_MODERN_METALLURGY,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_MOTOR_WAR_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_NANOASSEMBLY,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_NANO_ASSEMBLY,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_NANO_MACHINES,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_NANO_WARFARE,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_NATIONALISM,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_NAVAL_AVIATION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_NAVAL_WAR_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_NEURAL_INTERFACE,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_NEURAL_REPROGRAMMING,modern,base CTP2 AGE_TEN — beyond the Renaissance cap
ADVANCE_NEURAL_SILICON_INTERFACE,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_NUCLEAR_POWER,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_NUC_REACT_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_NYLON_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_OIL_REFINING,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_PENICILLIN_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_PHARMACEUTICALS,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_PHYSICS,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_PLASMA_WEAPONRY,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_POWER_FLIGHT_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_QUANTUM_ENERGY_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_QUANTUM_MECHANICS,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_RADAR,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_RADAR_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_RADIO_BROAD_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_RADIO_WAVES_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_RAILROAD,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_RELATIVITY_ONE_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_RELATIVITY_TWO_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ROBOTICS,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_ROCKETRY_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_SMART_MATERIALS,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_SPACE_FLIGHT,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_START_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_SUBNEURAL_ADS,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_SUPERCONDUCTOR,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_SUPERSONIC_FLIGHT,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_TANK_WARFARE,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_TECHNOCRACY,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_TELEVISION_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_TRANSISTOR_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ULTRAPRESSURE_MACHINERY,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_UNCERTAINTY_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_UNIFIED_FIELD_THEORY,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_UNIFIED_PHYSICS,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_VIRTUAL_DEMOCRACY,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
